# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
ATLAS                J027.4918+59.3229         01:49:58.03  +59:19:22.5   27.491809   59.322914  130.345332   -2.703776  1O       0          0.9724223  0          0          Gc     -                 -                 -                 -                 -              -                    506535734091474304   14.509
ASASSN-V             J015057.43+620110.6       01:50:57.34  +62:01:09.7   27.738929   62.019349  129.851567   -0.050144  1O       0          4.6877853  0          0          GV     -                 -                 -                 -                 -              J015057.43+620110.6  511362109099936384   12.545
GCVS                 VV____Cas                 01:51:07.02  +59:53:17.6   27.779246   59.888215  130.358541   -2.120219  F        6.2063773  0          0          0          GV     -                 -                 -                 -                 -              338435               506581226385580288   10.407
ASASSN-V             J015408.89+625745.9       01:54:08.89  +62:57:46.5   28.537061   62.962924  129.988636    0.953554  1O       0          1.8347743  0          0          GVr    -                 -                 -                 -                 -              AP4383148            511790368878996096   13.999
ZTF-DR2              J015700.20+573626.0       01:57:00.21  +57:36:26.0   29.250865   57.607216  131.650208   -4.150466  1O2O     0          1.0494332  0.8424804  0          Gr     -                 -                 -                 -                 -              -                    505347539980512384   14.387
ASASSN-V             J015830.96+574911.6       01:58:30.95  +57:49:11.5   29.628966   57.819850  131.791729   -3.893421  F        3.3294454  0          0          0          GVc    -                 -                 -                 -                 -              480806               505368121464666112   13.800
ASASSN-V             J020154.67+624219.3       02:01:54.64  +62:42:18.8   30.477663   62.705211  130.911165    0.930318  1O       0          1.9494153  0          0          GV     -                 -                 -                 -                 -              477840               508824711142351488   13.826
Gaia-DR3             507935893428526976        02:02:32.70  +60:01:31.1   30.636242   60.025306  131.709517   -1.629060  1O2O     0          0.5788266  0.4668042  0          G      -                 -                 -                 -                 -              -                    507935893428526976   15.758
GCVS                 CI____Per                 02:05:02.19  +57:08:34.6   31.259129   57.142935  132.820696   -4.309004  F        3.2971043  0          0          0          GVc    -                 -                 -                 -                 -              362326               505178760644698880   12.382
Gaia-DR3             518949563960455680        02:05:21.02  +67:15:01.6   31.337574   67.250435  130.003480    5.399027  F1O      1.8932237  1.3655611  0          0          G      -                 -                 -                 -                 -              -                    518949563960455680   15.137
