# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
OGLE-IV              OGLE-GD-CEP-0832          12:48:39.29  -69:03:10.1  192.163704  -69.052817  302.681726   -6.182420  1O       0          3.0662640  0          0          GI     OGLE-GD-CEP-0832  -                 -                 GD2007.15.13320   -              -                    5855502710522580736  16.875
OGLE-IV              OGLE-GD-CEP-0833          12:49:11.35  -63:19:25.7  192.297285  -63.323807  302.679519   -0.453160  F       18.4778844  0          0          0          GI     OGLE-GD-CEP-0833  -                 -                 GD1290.07.99      -              -                    5862894795918607104  16.184
VVV                  D19-27                    12:49:47.44  -63:48:13.9  192.447681  -63.803868  302.750111   -0.932700  F        3.9540700  0          0          0          GIK    OGLE-GD-CEP-1855  -                 -                 GD1291.24.22828   -              -                    5862678943710432384  17.070
OGLE-IV              OGLE-GD-CEP-1711          12:50:07.35  -65:08:39.3  192.530613  -65.144252  302.793578   -2.272856  1O2O     0          0.4345677  0.3498295  0          GI     OGLE-GD-CEP-1711  -                 -                 GD1292.23.1570    -              -                    5861754598036185344  17.563
OGLE-IV              OGLE-GD-CEP-1712          12:50:27.54  -64:18:29.6  192.614760  -64.308234  302.825794   -1.436686  F1O      0.3173343  0.2431066  0          0          GI     OGLE-GD-CEP-1712  -                 -                 GD1291.14.22      -              -                    5861856101075703552  13.405
OGLE-IV              OGLE-GD-CEP-0834          12:51:13.51  -65:02:25.1  192.806291  -65.040297  302.909459   -2.168557  1O       0          2.0155113  0          0          GI     OGLE-GD-CEP-0834  -                 -                 GD1292.23.28045   -              -                    5861761268187132544  15.323
OGLE-IV              OGLE-GD-CEP-1713          12:51:24.77  -64:52:28.6  192.853210  -64.874605  302.929256   -2.002856  F        1.8726417  0          0          0          GI     OGLE-GD-CEP-1713  -                 -                 GD1292.31.1173    -              -                    5861766868824681984  17.842
OGLE-IV              OGLE-GD-CEP-0835          12:51:49.06  -63:12:17.1  192.954428  -63.204744  302.974724   -0.333026  F        7.7906388  0          0          0          GI     OGLE-GD-CEP-0835  -                 -                 GD1290.05.10191   -              -                    5862987292321202432  14.969
OGLE-IV              OGLE-GD-CEP-0836          12:51:58.85  -63:53:13.3  192.995220  -63.887020  302.991675   -1.015334  F       29.6810417  0          0          0          GI     OGLE-GD-CEP-0836  -                 -                 GD1291.22.24346   -              -                    5862720214099407232  13.393
OGLE-IV              OGLE-GD-CEP-0837          12:53:12.38  -67:57:51.4  193.301593  -67.964264  303.098451   -5.093086  F        3.4011429  0          0          0          GVI    OGLE-GD-CEP-0837  -                 -                 GD2008.12.108     -              473942               5857294605251013760  14.459
OGLE-IV              OGLE-GD-CEP-0838          12:53:13.93  -62:45:54.8  193.308048  -62.765231  303.137200    0.105803  F       12.5009861  0          0          0          GI     OGLE-GD-CEP-0838  -                 -                 GD1290.21.253     -              -                    5863017700691081728  16.348
OGLE-IV              OGLE-GD-CEP-0839          12:53:14.25  -64:55:47.0  193.309364  -64.929731  303.122671   -2.058648  1O2O     0          0.7591892  0.6100466  0          GI     OGLE-GD-CEP-0839  -                 -                 GD1292.29.1001    -              -                    5861669596420432128  17.169
OGLE-IV              OGLE-GD-CEP-0840          12:53:27.76  -65:01:32.2  193.365680  -65.025609  303.145794   -2.154700  1O       0          2.0332349  0          0          GI     OGLE-GD-CEP-0840  -                 -                 GD1292.21.31320   -              -                    5861665193994747392  15.455
GCVS                 GP____Mus                 12:53:43.87  -65:53:59.0  193.432788  -65.899710  303.166346   -3.029004  F       26.4498975  0          0          0          GVI    OGLE-GD-CEP-0841  -                 -                 GD1292.04.3       -              312109               5858474003300201856  11.920
OGLE-IV              OGLE-GD-CEP-0842          12:53:54.11  -64:54:25.9  193.475445  -64.907186  303.193303   -2.036687  F        3.7600285  0          0          0          GI     OGLE-GD-CEP-0842  -                 -                 GD1292.29.227     -              -                    5861669866921875456  15.852
GCVS                 S_____Cru                 12:54:21.98  -58:25:50.3  193.591575  -58.430633  303.316340    4.438931  F        4.6897859  0          0          0          GBV    -                 -                 -                 -                 -              -                    6060173364074372352   6.471
GCVS                 RY____Cru                 12:54:27.14  -63:56:07.1  193.613104  -63.935304  303.263101   -1.065493  F       24.0611924  0          0          0          GV     -                 -                 -                 -                 125427-6356.1  -                    5862711040048310528  11.361
OGLE-IV              OGLE-GD-CEP-1714          12:54:31.87  -61:42:56.2  193.632794  -61.715612  303.298419    1.153936  1O2O     0          0.5847826  0.4693734  0          GI     OGLE-GD-CEP-1714  -                 -                 GD1289.11.12119   -              -                    6055344961803128192  19.120
OGLE-IV              OGLE-GD-CEP-0843          12:54:45.93  -65:50:58.0  193.691391  -65.849450  303.272736   -2.979903  1O       0          6.0846646  0          0          GI     OGLE-GD-CEP-0843  -                 -                 GD1292.03.621     -              -                    5858473900221160064  16.684
OGLE-IV              OGLE-GD-CEP-0844          12:54:49.52  -62:36:49.5  193.706313  -62.613741  303.321445    0.255447  F1O      8.8061153  6.1098324  0          0          GI     OGLE-GD-CEP-0844  -                 -                 GD1290.20.11124   -              -                    5863043607934623360  17.091
OGLE-IV              OGLE-GD-CEP-0845          12:54:59.57  -65:12:02.2  193.748198  -65.200625  303.304983   -2.331451  F        4.1014113  0          0          0          GVI    OGLE-GD-CEP-0845  -                 -                 GD1292.20.146     -              296124               5861648327739540736  14.744
OGLE-IV              OGLE-GD-CEP-0846          12:55:00.79  -63:29:41.2  193.753303  -63.494783  303.330826   -0.625803  F        6.6840332  0          0          0          GI     OGLE-GD-CEP-0846  -                 -                 GD1291.28.29077   -              -                    5862736363140653696  15.302
OGLE-IV              OGLE-GD-CEP-0847          12:55:29.85  -64:39:45.1  193.874360  -64.662522  303.366432   -1.794197  1O       0          0.5474537  0          0          GI     OGLE-GD-CEP-0847  -                 -                 GD1291.03.1624    -              -                    5861867263614604672  18.378
OGLE-IV              OGLE-GD-CEP-0848          12:55:47.15  -64:41:29.9  193.946442  -64.691644  303.396798   -1.823819  F        4.2289831  0          0          0          GI     OGLE-GD-CEP-0848  -                 -                 GD1292.28.30582   -              -                    5861866546407404544  16.020
Gaia-DR3             5861887196611945088       12:55:58.66  -64:22:26.5  193.994435  -64.374019  303.422926   -1.506598  F        3.4214084  0          0          0          G      -                 -                 -                 -                 -              -                    5861887196611945088  17.334
OGLE-IV              OGLE-GD-CEP-0849          12:56:32.60  -62:24:57.0  194.135824  -62.415847  303.522912    0.450044  F       13.0510752  0          0          0          GI     OGLE-GD-CEP-0849  -                 -                 GD1290.27.11      -              -                    5863098098158836736  12.973
OGLE-IV              OGLE-GD-CEP-0850          12:56:58.63  -60:43:00.7  194.244297  -60.716852  303.609696    2.147608  1O       0          3.6749410  0          0          GI     OGLE-GD-CEP-0850  -                 -                 GD1288.01.16051   -              -                    6055961925293088256  15.112
OGLE-IV              OGLE-GD-CEP-0851          12:58:27.03  -64:27:37.4  194.612605  -64.460393  303.687952   -1.598938  F        3.2336375  0          0          0          GI     OGLE-GD-CEP-0851  -                 -                 GD1291.01.27555   -              -                    5861894583956366848  16.439
OGLE-IV              OGLE-GD-CEP-0852          12:58:49.20  -61:11:18.9  194.704992  -61.188574  303.821585    1.670423  1O       0          1.2692418  0          0          GI     OGLE-GD-CEP-0852  -                 -                 GD1283.16.17      -              -                    6055736937705256064  14.114
OGLE-IV              OGLE-GD-CEP-0853          12:59:00.08  -64:05:00.3  194.750330  -64.083415  303.758406   -1.223803  F        8.0840503  0          0          0          GI     OGLE-GD-CEP-0853  -                 -                 GD1291.08.23808   -              -                    5861923171260938240  13.127
ASAS                 J125901-6834.7            12:59:00.36  -68:34:42.8  194.751482  -68.578547  303.626273   -5.717001  F        3.7972642  0          0          0          GVI    OGLE-GD-CEP-0854  -                 -                 GD2007.26.15      125901-6834.7  -                    5856994365517642112  13.255
